"NOC","Year","Athletes","Sports","Events","Is host","Mean Sex","Mean Sport Participation","Mean Event Participation","Bronze Last Olympics","Silver Last Olympics","Gold Last Olympics","Bronze","Silver","Gold","Total","Rank"
"Russia","1996","389","25","212","0","0.577898550724638","1023.10144927536","70.7536231884058",NA,NA,NA,"16","21","26","63","2"
"Germany","1996","464","26","234","0","0.608626198083067","942.666134185303","72.7859424920128","28","21","33","27","18","20","65","3"
"China","1996","289","25","155","0","0.408675799086758","874.646118721461","72.7579908675799","16","22","16","12","22","16","50","4"
"France","1996","299","25","183","0","0.624724061810154","990.960264900662","75.1876379690949","16","5","8","15","7","15","37","5"
"Italy","1996","340","27","172","0","0.704347826086957","850.35652173913","80.5086956521739","8","5","6","12","10","13","35","6"
"Australia","1996","417","26","211","0","0.558181818181818","931.627272727273","81.4963636363636","11","9","7","23","9","9","41","7"
"Cuba","1996","164","15","84","0","0.662921348314607","945.370786516854","77.3089887640449","11","6","14","8","8","9","25","8"
"Ukraine","1996","231","21","148","0","0.621082621082621","1030.28774928775","73.7236467236467",NA,NA,NA,"12","2","9","23","9"
"South Korea","1996","299","25","160","0","0.652278177458034","712.625899280576","91.1151079136691","12","5","12","5","15","7","27","10"
"Poland","1996","165","20","126","0","0.743961352657005","820.207729468599","54.6376811594203","10","6","3","5","5","7","17","11"
"Hungary","1996","212","24","145","0","0.615873015873016","887.288888888889","76.0095238095238","7","12","11","10","4","7","21","12"
"Spain","1996","284","22","157","0","0.614583333333333","937.3359375","85.4348958333333","2","7","13","6","6","5","17","13"
"Romania","1996","165","18","122","0","0.566901408450704","1063.23591549296","69.919014084507","8","6","4","9","7","4","20","14"
"Netherlands","1996","238","19","94","0","0.558620689655172","624.889655172414","92.2103448275862","7","6","2","10","5","4","19","15"
"Greece","1996","121","18","94","0","0.561111111111111","1110.02777777778","76.0611111111111","0","0","2","0","4","4","8","16"
"Czech Republic","1996","115","17","110","0","0.597633136094675","1072.94674556213","50.1775147928994",NA,NA,NA,"4","3","4","11","17"
"Switzerland","1996","115","17","83","0","0.593023255813954","969.622093023256","76.0406976744186","0","0","1","0","3","4","7","18"
"Denmark","1996","119","14","66","0","0.448275862068966","708.786206896552","69.848275862069","4","1","1","1","1","4","6","19"
"Turkey","1996","53","9","55","0","0.786885245901639","620.327868852459","36.1147540983607","2","2","2","1","1","4","6","19"
"Canada","1996","303","25","189","0","0.504901960784314","863.747549019608","66.7794117647059","7","4","7","8","11","3","22","21"
"Bulgaria","1996","108","17","89","0","0.707182320441989","972.685082872928","67.4917127071823","6","7","3","5","7","3","15","22"
"Japan","1996","306","27","168","0","0.515625","892.234375","85.4196428571429","11","8","3","5","6","3","14","23"
"Kazakhstan","1996","96","14","99","0","0.746478873239437","933.915492957746","55.1971830985916",NA,NA,NA,"4","4","3","11","24"
"Brazil","1996","220","18","93","0","0.725099601593626","865.852589641434","103.454183266932","0","1","2","9","3","3","15","25"
"New Zealand","1996","95","15","81","0","0.651162790697674","1120.16279069767","59.7596899224806","5","4","1","1","2","3","6","26"
"South Africa","1996","84","14","62","0","0.666666666666667","1089.17117117117","78.2972972972973","0","2","0","1","1","3","5","27"
"Ireland","1996","378","22","184","0","0.630612244897959","1119.42448979592","66.3612244897959","0","1","1","1","0","3","4","28"
"Sweden","1996","177","22","109","0","0.600858369098712","768.858369098713","71.9871244635193","4","7","1","2","4","2","8","29"
"Norway","1996","97","16","65","0","0.46551724137931","826.387931034483","70.0603448275862","1","4","2","3","2","2","7","30"
"Belgium","1996","61","14","55","0","0.654320987654321","948.58024691358","58.7654320987654","2","1","0","2","2","2","6","31"
"Nigeria","1996","65","9","38","0","0.678571428571429","1434.97619047619","104.357142857143","1","3","0","3","1","2","6","32"
"North Korea","1996","24","9","25","0","0.638888888888889","730.25","62.8611111111111","5","0","4","2","1","2","5","33"
"Algeria","1996","45","9","29","0","0.872340425531915","769.63829787234","86.3617021276596","1","0","1","1","0","2","3","34"
"Ethiopia","1996","18","2","10","0","0.526315789473684","2172.21052631579","55.0526315789474","2","0","1","1","0","2","3","34"
"Great Britain","1996","300","22","175","0","0.593350383631714","1112.84910485934","69.0639386189258","12","3","5","6","8","1","15","36"
"Belarus","1996","157","19","115","0","0.55984555984556","1137.93436293436","66.6833976833977",NA,NA,NA,"8","6","1","15","37"
"Kenya","1996","52","5","27","0","0.814814814814815","2045.11111111111","64.6666666666667","2","4","2","3","4","1","8","38"
"Jamaica","1996","46","5","29","0","0.536231884057971","2096.27536231884","73.8115942028985","1","3","0","2","3","1","6","39"
"Finland","1996","76","15","74","0","0.571428571428571","1322.06666666667","51.7047619047619","2","2","1","1","2","1","4","40"
"Indonesia","1996","40","11","23","0","0.533333333333333","362.4","51.7333333333333","1","2","2","2","1","1","4","41"
"Iran","1996","18","6","18","0","0.944444444444444","580.555555555556","26.5","2","1","0","1","1","1","3","43"
"Slovakia","1996","71","14","69","0","0.724489795918367","940.214285714286","52.0408163265306",NA,NA,NA,"1","1","1","3","43"
"Armenia","1996","32","11","36","0","0.947368421052632","667.131578947368","47.6052631578947",NA,NA,NA,"0","1","1","2","45"
"Croatia","1996","84","14","57","0","0.863247863247863","761.25641025641","93.7008547008547","2","1","0","0","1","1","2","45"
"Portugal","1996","106","18","79","0","0.702290076335878","1187.37404580153","91.0458015267176",NA,NA,NA,"1","0","1","2","47"
"Thailand","1996","37","10","42","0","0.655172413793103","1143.6724137931","56.551724137931","1","0","0","1","0","1","2","47"
"Burundi","1996","7","1","6","0","0.857142857142857","2386","58.7142857142857",NA,NA,NA,"0","0","1","1","49"
"Costa Rica","1996","11","6","13","0","0.461538461538462","1084.46153846154","44.6153846153846",NA,NA,NA,"0","0","1","1","49"
"Ecuador","1996","19","7","18","0","0.928571428571429","1261.25","77.6785714285714",NA,NA,NA,"0","0","1","1","49"
"Hong Kong","1996","22","10","25","0","0.65625","744.5","55.125",NA,NA,NA,"0","0","1","1","49"
"Syria","1996","7","5","8","0","0.875","926.375","28.25",NA,NA,NA,"0","0","1","1","49"
"Argentina","1996","179","20","102","0","0.687782805429864","664.289592760181","97.8280542986425","1","0","0","1","2","0","3","54"
"Namibia","1996","8","4","10","0","0.7","1577.1","65.5","0","2","0","0","2","0","2","55"
"Slovenia","1996","37","8","34","0","0.702127659574468","1114.87234042553","50.0425531914894","2","0","0","0","2","0","2","55"
"Austria","1996","72","15","53","0","0.771739130434783","815.945652173913","60.2826086956522","0","2","0","2","1","0","3","57"
"Malaysia","1996","35","8","21","0","0.930232558139535","869.162790697674","107.302325581395","1","0","0","1","1","0","2","58"
"Moldova","1996","40","10","41","0","0.9","979.8","53.02",NA,NA,NA,"1","1","0","2","58"
"Uzbekistan","1996","71","12","70","0","0.789473684210526","991.684210526316","50.3368421052632",NA,NA,NA,"1","1","0","2","58"
"Azerbaijan","1996","23","9","23","0","0.833333333333333","780","34.5833333333333",NA,NA,NA,"0","1","0","1","61"
"Bahamas","1996","26","4","17","0","0.638888888888889","2026.13888888889","87.1111111111111","1","0","0","0","1","0","1","61"
"Chinese Taipei","1996","74","14","63","0","0.383177570093458","777.943925233645","64.7009345794392","0","1","0","0","1","0","1","61"
"Latvia","1996","47","12","47","0","0.690909090909091","1280.16363636364","59.6545454545455","1","2","0","0","1","0","1","61"
"Philippines","1996","12","6","18","0","0.611111111111111","1101.22222222222","47.1666666666667","1","0","0","0","1","0","1","61"
"Tonga","1996","5","3","5","0","0.8","1145","46",NA,NA,NA,"0","1","0","1","61"
"Zambia","1996","8","2","8","0","0.875","1370.5","38.875",NA,NA,NA,"0","1","0","1","61"
"Georgia","1996","34","13","39","0","0.785714285714286","644.785714285714","45.1190476190476",NA,NA,NA,"2","0","0","2","68"
"Morocco","1996","34","7","28","0","0.842105263157895","1403.47368421053","51.7894736842105","1","1","1","2","0","0","2","68"
"Trinidad and Tobago","1996","12","6","14","0","0.625","1692.5625","57.9375",NA,NA,NA,"2","0","0","2","68"
"India","1996","49","13","31","0","0.833333333333333","596.074074074074","88.7592592592593",NA,NA,NA,"1","0","0","1","71"
"Israel","1996","25","10","26","0","0.736842105263158","977.473684210526","50.0789473684211","1","1","0","1","0","0","1","71"
"Lithuania","1996","61","14","49","0","0.728395061728395","1056.27160493827","70.6049382716049","1","0","1","1","0","0","1","71"
"Mexico","1996","97","19","57","0","0.720720720720721","677.567567567568","85.018018018018","0","1","0","1","0","0","1","71"
"Mongolia","1996","16","7","16","0","0.666666666666667","658.444444444444","44.8888888888889","2","0","0","1","0","0","1","71"
"Mozambique","1996","3","3","3","0","0.666666666666667","1458.66666666667","39.3333333333333",NA,NA,NA,"1","0","0","1","71"
"Puerto Rico","1996","69","16","60","0","0.692307692307692","828.406593406593","80.2967032967033","1","0","0","1","0","0","1","71"
"Tunisia","1996","51","9","24","0","0.865384615384615","585.192307692308","137.384615384615",NA,NA,NA,"1","0","0","1","71"
"Uganda","1996","10","4","9","0","0.583333333333333","979.333333333333","51.8333333333333",NA,NA,NA,"1","0","0","1","71"
"United States","2000","586","31","265","0","0.554973821989529","969.873036649215","72.9934554973822","25","32","44","32","24","37","93","1"
"Russia","2000","434","30","238","0","0.553156146179402","1019.54485049834","65.9019933554817","16","21","26","29","28","32","89","2"
"China","2000","266","28","163","0","0.384057971014493","801.224637681159","65.804347826087","12","22","16","14","16","28","58","3"
"Australia","2000","617","34","270","1","0.532994923857868","829.494923857868","80.7664974619289","23","9","9","17","25","16","58","4"
"Germany","2000","422","29","234","0","0.580246913580247","858.319223985891","62.9294532627866","27","18","20","26","17","13","56","5"
"France","2000","336","28","196","0","0.629787234042553","843.555319148936","66.7914893617021","15","7","15","11","14","13","38","6"
"Italy","2000","361","29","175","0","0.649890590809628","778.36761487965","81.9584245076586","12","10","13","13","8","13","34","7"
"Netherlands","2000","231","21","95","0","0.617543859649123","673.522807017544","89.2842105263158","10","5","4","4","9","12","25","8"
"Cuba","2000","229","24","135","0","0.660516605166052","715.309963099631","81.0553505535055","8","8","9","7","11","11","29","9"
"Great Britain","2000","309","23","179","0","0.559036144578313","1102.75421686747","65.7686746987952","6","8","1","7","10","11","28","10"
"Romania","2000","145","16","116","0","0.492063492063492","1013.63888888889","60.6190476190476","9","7","4","9","6","11","26","11"
"South Korea","2000","279","26","144","0","0.646239554317549","608.077994428969","99.4484679665738","5","15","7","10","10","8","28","12"
"Hungary","2000","178","23","137","0","0.605042016806723","943","60.5966386554622","10","4","7","3","6","8","17","13"
"Poland","2000","187","20","133","0","0.670833333333333","896.525","65.1708333333333","5","5","7","3","5","6","14","14"
"Japan","2000","266","28","156","0","0.622589531680441","869.005509641873","77.0523415977961","5","6","3","5","8","5","18","15"
"Bulgaria","2000","91","16","85","0","0.686666666666667","1011.05333333333","51.88","5","7","3","2","6","5","13","16"
"Greece","2000","140","23","114","0","0.582857142857143","1196.13714285714","61.2914285714286","0","4","4","3","6","4","13","17"
"Sweden","2000","150","22","92","0","0.621212121212121","749.323232323232","67.9191919191919","2","4","2","3","5","4","12","18"
"Norway","2000","93","15","54","0","0.530434782608696","670.530434782609","74.504347826087","3","2","2","3","3","4","10","19"
"Ethiopia","2000","26","2","11","0","0.555555555555556","2307.92592592593","47.5555555555556","1","0","2","3","1","4","8","20"
"Ukraine","2000","230","23","185","0","0.58695652173913","1081.3097826087","53.6141304347826","12","2","9","10","10","3","23","21"
"Kazakhstan","2000","130","17","104","0","0.664556962025316","866.107594936709","59.0063291139241","4","4","3","0","4","3","7","22"
"Belarus","2000","139","20","109","0","0.554112554112554","1007.26406926407","58.1125541125541","8","6","1","11","3","3","17","23"
"Canada","2000","294","29","175","0","0.469194312796209","890.241706161137","69.9075829383886","8","11","3","8","3","3","14","24"
"Spain","2000","316","27","165","0","0.65661252900232","916.691415313225","85.6519721577726","6","6","5","5","3","3","11","25"
"Turkey","2000","57","10","58","0","0.701492537313433","675.791044776119","34.3582089552239","1","1","4","2","0","3","5","26"
"Iran","2000","33","12","33","0","0.970588235294118","434.058823529412","36.0588235294118","1","1","1","1","0","3","4","27"
"Czech Republic","2000","119","20","96","0","0.685185185185185","917.833333333333","70.037037037037","4","3","4","3","3","2","8","28"
"Kenya","2000","56","6","24","0","0.610169491525424","1781.98305084746","75.0847457627119","3","4","1","2","3","2","7","29"
"Denmark","2000","97","16","55","0","0.548387096774194","639.677419354839","63.4032258064516","1","1","4","1","3","2","6","30"
"Finland","2000","70","16","64","0","0.579545454545455","1289.52272727273","46.3409090909091","1","2","1","1","1","2","4","31"
"Austria","2000","92","17","68","0","0.605263157894737","815.640350877193","64.2631578947368","2","1","0","0","1","2","3","32"
"Lithuania","2000","61","15","50","0","0.61038961038961","1135.75324675325","70.1818181818182","1","0","0","3","0","2","5","33"
"Azerbaijan","2000","31","8","32","0","0.78125","697.6875","32.5625","0","1","0","1","0","2","3","34"
"Bahamas","2000","25","3","18","0","0.615384615384615","2242.30769230769","90.8461538461538","0","1","0","1","0","2","3","34"
"Slovenia","2000","74","13","53","0","0.711111111111111","1130.17777777778","88.4888888888889","0","2","0","0","0","2","2","36"
"Switzerland","2000","102","19","82","0","0.601449275362319","825","53.7608695652174","0","3","4","2","6","1","9","37"
"Indonesia","2000","47","12","32","0","0.611111111111111","797.537037037037","58.2222222222222","2","1","1","2","3","1","6","38"
"Slovakia","2000","108","16","63","0","0.727272727272727","804.325757575758","100.44696969697","1","1","1","1","3","1","5","39"
"Mexico","2000","78","19","67","0","0.653061224489796","992.428571428571","44.0204081632653","1","0","0","3","2","1","6","40"
"Nigeria","2000","83","8","37","0","0.51","1265.19","114.25","3","1","2","0","2","1","3","41"
"Algeria","2000","47","10","42","0","0.803921568627451","1410.13725490196","48.9019607843137","1","0","2","3","1","1","5","42"
"Uzbekistan","2000","70","12","69","0","0.682352941176471","1255.37647058824","55.2","1","1","0","2","1","1","4","43"
"Latvia","2000","45","13","47","0","0.716666666666667","1334.43333333333","53.55","0","1","0","1","1","1","3","44"
"New Zealand","2000","147","18","95","0","0.525423728813559","654.672316384181","77.6666666666667","1","2","3","3","0","1","4","46"
"Estonia","2000","33","11","29","0","0.926829268292683","908.975609756098","56.1219512195122",NA,NA,NA,"2","0","1","3","47"
"Thailand","2000","52","11","51","0","0.617647058823529","1071.02941176471","59.3823529411765","1","0","1","2","0","1","3","47"
"Croatia","2000","88","12","53","0","0.703703703703704","1026.84259259259","85.0092592592593","0","1","1","1","0","1","2","49"
"Cameroon","2000","34","4","14","0","0.717948717948718","1239.33333333333","168.820512820513",NA,NA,NA,"0","0","1","1","50"
"Colombia","2000","44","13","45","0","0.555555555555556","1074","58.4444444444444",NA,NA,NA,"0","0","1","1","50"
"Mozambique","2000","4","2","4","0","0.5","2104.5","62.5","1","0","0","0","0","1","1","50"
"Brazil","2000","196","24","96","0","0.563559322033898","709.309322033898","95.4322033898305","9","3","3","6","6","0","12","53"
"Jamaica","2000","48","4","28","0","0.446153846153846","2334.44615384615","80.3230769230769","2","3","1","3","6","0","9","54"
"Belgium","2000","68","16","64","0","0.425531914893617","1004.63829787234","55.5425531914894","2","2","2","3","2","0","5","55"
"South Africa","2000","127","17","68","0","0.695652173913043","1056.45962732919","111.614906832298","1","1","3","3","2","0","5","55"
"Argentina","2000","142","21","98","0","0.684848484848485","709.727272727273","78.6787878787879","1","2","0","2","2","0","4","57"
"Chinese Taipei","2000","55","14","59","0","0.44","807.253333333333","49.28","0","1","0","4","1","0","5","58"
"Morocco","2000","55","9","28","0","0.836363636363636","1297.36363636364","111.763636363636","2","0","0","4","1","0","5","58"
"North Korea","2000","31","10","34","0","0.446808510638298","874.468085106383","56.0851063829787","2","1","2","3","1","0","4","60"
"Moldova","2000","34","7","34","0","0.857142857142857","1451.17142857143","43.0571428571429","1","1","0","1","1","0","2","61"
"Saudi Arabia","2000","18","5","14","0","1","1874.34782608696","94.3478260869565",NA,NA,NA,"1","1","0","2","61"
"Trinidad and Tobago","2000","19","3","18","0","0.758620689655172","2210.93103448276","93.9310344827586","2","0","0","1","1","0","2","61"
"Ireland","2000","373","23","184","0","0.564154786150713","1183.23014256619","65.4908350305499","1","0","3","0","1","0","1","64"
"Sri Lanka","2000","18","4","16","0","0.458333333333333","2009.83333333333","85.7916666666667",NA,NA,NA,"0","1","0","1","64"
"Uruguay","2000","15","7","16","0","0.823529411764706","1428","59.7058823529412",NA,NA,NA,"0","1","0","1","64"
"Vietnam","2000","7","4","7","0","0.428571428571429","1317.28571428571","36.2857142857143",NA,NA,NA,"0","1","0","1","64"
"Georgia","2000","36","12","41","0","0.702127659574468","563.510638297872","41.3617021276596","2","0","0","6","0","0","6","68"
"Costa Rica","2000","7","5","9","0","0.666666666666667","1349.11111111111","58.8888888888889","0","0","1","2","0","0","2","69"
"Portugal","2000","61","13","50","0","0.796875","1244.78125","53.265625","1","0","1","2","0","0","2","69"
"Armenia","2000","25","10","26","0","0.923076923076923","680.076923076923","32.6153846153846","0","1","1","1","0","0","1","71"
"Barbados","2000","18","6","21","0","0.642857142857143","2046.53571428571","76.3928571428571",NA,NA,NA,"1","0","0","1","71"
"Chile","2000","50","14","28","0","0.862068965517241","739.655172413793","128.586206896552",NA,NA,NA,"1","0","0","1","71"
"Iceland","2000","18","5","28","0","0.586206896551724","1661.75862068966","55.5862068965517",NA,NA,NA,"1","0","0","1","71"
"India","2000","65","13","38","0","0.671428571428571","1173.61428571429","94.1142857142857","1","0","0","1","0","0","1","71"
"Israel","2000","39","9","43","0","0.775862068965517","1294.56896551724","58.7413793103448","1","0","0","1","0","0","1","71"
"Kuwait","2000","29","6","10","0","1","850.8","176.733333333333",NA,NA,NA,"1","0","0","1","71"
"Kyrgyzstan","2000","48","9","59","0","0.71830985915493","1333.07042253521","52.8028169014084",NA,NA,NA,"1","0","0","1","71"
"Macedonia","2000","10","5","15","0","0.466666666666667","1409.2","39.3333333333333",NA,NA,NA,"1","0","0","1","71"
"Qatar","2000","17","5","14","0","1","1981.68421052632","73",NA,NA,NA,"1","0","0","1","71"
"United States","2004","533","31","254","0","0.53168044077135","933.629476584022","64.3898071625344","32","24","37","26","39","36","101","1"
"China","2004","372","31","204","0","0.388030888030888","780.849420849421","67.3706563706564","14","16","28","14","17","32","63","2"
"Russia","2004","445","29","235","0","0.553119730185497","939.384485666105","61.2141652613828","29","28","32","36","26","28","90","3"
"Australia","2004","470","33","219","0","0.544093178036606","723.615640599002","82.0831946755408","17","25","16","17","16","17","50","4"
"Japan","2004","305","31","169","0","0.507246376811594","769.132850241546","84.9975845410628","5","8","5","12","9","16","37","5"
"Germany","2004","441","29","228","0","0.589527027027027","837.222972972973","67.2347972972973","26","17","13","20","16","13","49","6"
"France","2004","308","27","193","0","0.620390455531453","884.488069414317","63.4164859002169","11","14","13","13","9","11","33","7"
"Italy","2004","364","30","175","0","0.641350210970464","718.242616033755","81.9409282700422","13","8","13","11","11","10","32","8"
"South Korea","2004","260","25","149","0","0.590116279069767","649.767441860465","87.1598837209302","10","10","8","9","12","9","30","9"
"Great Britain","2004","264","24","162","0","0.544444444444444","994.780555555556","57.4805555555556","7","10","11","12","9","9","30","10"
"Cuba","2004","151","18","108","0","0.655367231638418","782.135593220339","68.6610169491525","7","11","11","11","7","9","27","11"
"Hungary","2004","208","20","138","0","0.562015503875969","815.271317829457","65.8294573643411","3","6","8","3","6","8","17","12"
"Ukraine","2004","239","23","175","0","0.546218487394958","972.117647058824","56.1484593837535","10","10","3","9","5","8","22","13"
"Romania","2004","108","16","88","0","0.492227979274611","1053.62694300518","57.6165803108808","9","6","11","6","5","8","19","14"
"Greece","2004","426","33","215","1","0.507014028056112","683.559118236473","86.3787575150301","3","6","4","4","6","6","16","15"
"Brazil","2004","241","26","133","0","0.49685534591195","842.635220125786","83.9779874213836","6","6","0","3","2","5","10","16"
"Norway","2004","52","12","35","0","0.7","709.166666666667","47.95","3","3","4","1","0","5","6","17"
"Netherlands","2004","210","22","99","0","0.602272727272727","715.261363636364","85.6628787878788","4","9","12","9","9","4","22","18"
"Sweden","2004","114","20","79","0","0.522292993630573","776.40127388535","65.484076433121","3","5","4","1","2","4","7","19"
"Spain","2004","313","27","155","0","0.565011820330969","830.056737588652","80.3002364066194","5","3","3","6","11","3","20","20"
"Canada","2004","262","28","151","0","0.51150895140665","753.43989769821","66.9718670076726","8","3","3","3","6","3","12","21"
"Turkey","2004","64","10","65","0","0.635135135135135","923.621621621622","36.6351351351351","2","0","3","4","3","3","10","22"
"Poland","2004","194","21","124","0","0.678571428571429","883.383928571429","52.3169642857143","3","5","6","5","2","3","10","23"
"New Zealand","2004","148","18","84","0","0.554347826086957","744.766304347826","86.0652173913043","3","0","1","0","2","3","5","24"
"Thailand","2004","42","13","46","0","0.588235294117647","659.941176470588","37.3333333333333","2","0","1","4","1","3","8","25"
"Belarus","2004","151","22","121","0","0.546875","957.796875","45.3385416666667","11","3","3","6","5","2","13","26"
"Austria","2004","74","18","56","0","0.717391304347826","661.673913043478","50.695652173913","0","1","2","1","4","2","7","27"
"Ethiopia","2004","26","2","12","0","0.555555555555556","2034.62962962963","49.037037037037","3","1","4","2","3","2","7","28"
"Iran","2004","37","10","35","0","0.972972972972973","487.837837837838","34.3243243243243","1","0","3","2","2","2","6","29"
"Slovakia","2004","64","14","59","0","0.69047619047619","783.416666666667","45.1190476190476","1","3","1","2","2","2","6","29"
"Chinese Taipei","2004","88","14","52","0","0.548076923076923","500.634615384615","88.3846153846154","4","1","0","1","2","2","5","31"
"Georgia","2004","32","10","38","0","0.82051282051282","656.974358974359","39.7179487179487","6","0","0","0","2","2","4","32"
"Bulgaria","2004","95","19","94","0","0.563025210084034","864.336134453781","41.7226890756302","2","6","5","9","1","2","12","33"
"Denmark","2004","92","16","59","0","0.51304347826087","643.547826086957","62.495652173913","1","3","2","5","1","2","8","34"
"Jamaica","2004","47","4","27","0","0.435483870967742","2063.16129032258","53.9838709677419","3","6","0","2","1","2","5","35"
"Uzbekistan","2004","69","14","71","0","0.721518987341772","906.329113924051","39.126582278481","2","1","1","2","1","2","5","35"
"Morocco","2004","55","9","28","0","0.842105263157895","1136.73684210526","104.210526315789","4","1","0","0","1","2","3","37"
"Argentina","2004","151","22","86","0","0.692737430167598","592.491620111732","101.849162011173","2","2","0","4","0","2","6","38"
"Chile","2004","22","11","25","0","0.724137931034483","823.724137931035","52.1724137931034","1","0","0","1","0","2","3","39"
"Kazakhstan","2004","114","17","95","0","0.638461538461538","809.430769230769","60.0076923076923","0","4","3","3","4","1","8","40"
"Kenya","2004","46","4","16","0","0.478260869565217","1622.08695652174","74.0652173913043","2","3","2","2","4","1","7","41"
"Czech Republic","2004","142","20","104","0","0.555555555555556","947.637426900585","54.3801169590643","3","3","2","5","3","1","9","42"
"South Africa","2004","106","20","68","0","0.6171875","1018.828125","84.5234375","3","2","0","2","3","1","6","43"
"Croatia","2004","81","14","57","0","0.76","859.73","80.37","1","0","1","2","2","1","5","44"
"Lithuania","2004","59","13","44","0","0.785714285714286","981.371428571429","62.1428571428571","3","0","2","0","2","1","3","45"
"Egypt","2004","96","17","48","0","0.846153846153846","386.115384615385","93.8557692307692",NA,NA,NA,"3","1","1","5","46"
"Switzerland","2004","98","19","83","0","0.579710144927536","784.021739130435","56.463768115942","2","6","1","3","1","1","5","46"
"Indonesia","2004","38","14","27","0","0.564102564102564","465.769230769231","38.1282051282051","2","3","1","2","1","1","4","48"
"Zimbabwe","2004","12","4","11","0","0.642857142857143","1488.28571428571","54.5",NA,NA,NA,"1","1","1","3","49"
"Azerbaijan","2004","36","10","36","0","0.810810810810811","583.135135135135","30.5945945945946","1","0","2","4","0","1","5","50"
"Belgium","2004","50","14","41","0","0.628571428571429","747.028571428571","61.0428571428571","3","2","0","2","0","1","3","51"
"Bahamas","2004","22","3","18","0","0.571428571428571","1918.28571428571","55.7142857142857","1","0","2","1","0","1","2","52"
"Israel","2004","36","14","41","0","0.58695652173913","807.195652173913","48.8260869565217","1","0","0","1","0","1","2","52"
"Cameroon","2004","17","5","15","0","0.526315789473684","1266.68421052632","43.7894736842105","0","0","1","0","0","1","1","54"
"Dominican Republic","2004","33","9","22","0","0.515151515151515","587.393939393939","74.3030303030303",NA,NA,NA,"0","0","1","1","54"
"United Arab Emirates","2004","4","3","5","0","1","1093.4","48.4",NA,NA,NA,"0","0","1","1","54"
"North Korea","2004","36","9","34","0","0.28169014084507","877.915492957746","64.6197183098592","3","1","0","1","4","0","5","57"
"Latvia","2004","32","11","37","0","0.755555555555556","1421.93333333333","54.3333333333333","1","1","1","0","4","0","4","58"
"Mexico","2004","109","20","68","0","0.510948905109489","873.890510948905","87.2846715328467","3","2","1","1","3","0","4","59"
"Portugal","2004","80","16","63","0","0.806451612903226","1146.23655913978","93.2258064516129","2","0","0","1","2","0","3","60"
"Finland","2004","53","12","53","0","0.656716417910448","1349.32835820896","44.2686567164179","1","1","2","0","2","0","2","61"
"Serbia and Montenegro","2004","85","14","39","0","0.90625","629.447916666667","123.864583333333",NA,NA,NA,"0","2","0","2","61"
"Slovenia","2004","79","10","66","0","0.656862745098039","1085.39215686275","69.5490196078431","0","0","2","3","1","0","4","63"
"Estonia","2004","42","10","34","0","0.733333333333333","1247.64444444444","56.4444444444444","2","0","1","2","1","0","3","64"
"Hong Kong","2004","32","10","29","0","0.452380952380952","674.904761904762","51.5",NA,NA,NA,"0","1","0","1","65"
"India","2004","73","14","43","0","0.62962962962963","753.567901234568","71.4567901234568","1","0","0","0","1","0","1","65"
"Paraguay","2004","21","4","6","0","0.909090909090909","650.5","210.090909090909",NA,NA,NA,"0","1","0","1","65"
"Colombia","2004","53","15","59","0","0.605633802816901","884.859154929577","49.4366197183099","0","0","1","2","0","0","2","68"
"Nigeria","2004","70","10","31","0","0.367088607594937","865.696202531646","89.2784810126582","0","2","1","2","0","0","2","68"
"Venezuela","2004","48","15","51","0","0.660377358490566","670.735849056604","40.377358490566",NA,NA,NA,"2","0","0","2","68"
"Eritrea","2004","4","1","3","0","0.8","2175","32.2",NA,NA,NA,"1","0","0","1","71"
"Mongolia","2004","20","7","21","0","0.619047619047619","606.52380952381","34.2380952380952",NA,NA,NA,"1","0","0","1","71"
"Syria","2004","6","5","6","0","0.833333333333333","1198.33333333333","43.3333333333333",NA,NA,NA,"1","0","0","1","71"
"Trinidad and Tobago","2004","19","4","18","0","0.615384615384615","1864.61538461538","59.0384615384615","1","1","0","1","0","0","1","71"
"China","2008","583","34","257","1","0.515068493150685","696.578082191781","83.8438356164384","14","17","32","30","22","48","100","1"
"United States","2008","587","32","258","0","0.520314547837484","925.989515072084","75.7653997378768","26","39","36","37","39","36","112","2"
"Russia","2008","452","29","242","0","0.525","948.02","63.72","36","26","28","23","13","24","60","3"
"Great Britain","2008","303","23","185","0","0.502380952380952","1003.43095238095","62.4190476190476","12","9","9","19","13","19","51","4"
"Germany","2008","420","30","207","0","0.560931899641577","772.987455197133","76.0716845878136","20","16","13","14","11","16","41","5"
"Australia","2008","432","31","219","0","0.524561403508772","780.171929824561","75.0438596491228","17","16","17","17","15","14","46","6"
"South Korea","2008","263","27","142","0","0.632218844984802","613.802431610942","97.7446808510638","9","12","9","8","11","13","32","7"
"Japan","2008","332","31","176","0","0.509846827133479","829.363238512035","85.3544857768052","12","9","16","8","8","9","25","8"
"Italy","2008","333","29","190","0","0.601307189542484","836.960784313726","70.9411764705882","11","11","10","10","9","8","27","9"
"France","2008","309","25","205","0","0.59375","924.491071428571","59.2477678571429","13","9","11","20","16","7","43","10"
"Netherlands","2008","237","20","98","0","0.565371024734982","688.374558303887","99.4805653710247","9","9","4","4","5","7","16","11"
"Ukraine","2008","243","24","177","0","0.492354740061162","1030.88073394495","48.519877675841","9","5","8","11","4","7","22","12"
"Kenya","2008","46","5","24","0","0.617021276595745","1919.6170212766","47.3191489361702","2","4","1","6","4","6","16","13"
